hand_id,player_0_action,player_0_amount,player_1_action,player_1_amount
texas(1),CALL,0,CALL,0
texas(10),CALL,0,CALL,0
texas(100),FOLD,0,CALL,0
texas(101),FOLD,0,FOLD,0
texas(102),CALL,0,FOLD,0
texas(103),FOLD,0,FOLD,0
texas(104),FOLD,0,CALL,0
texas(105),CALL,0,FOLD,0
texas(106),CALL,0,FOLD,0
texas(107),FOLD,0,FOLD,0
texas(108),FOLD,0,FOLD,0
texas(109),CALL,0,FOLD,0
texas(11),CALL,0,CALL,0
texas(110),FOLD,0,FOLD,0
texas(111),FOLD,0,CALL,0
texas(112),CALL,0,FOLD,0
texas(113),CALL,0,FOLD,0
texas(114),FOLD,0,FOLD,0
texas(115),CALL,0,FOLD,0
texas(116),FOLD,0,FOLD,0
texas(117),FOLD,0,FOLD,0
texas(118),FOLD,0,FOLD,0
texas(119),FOLD,0,CALL,0
texas(12),CALL,0,CALL,0
texas(120),FOLD,0,CALL,0
texas(121),CALL,0,FOLD,0
texas(122),FOLD,0,CALL,0
texas(123),FOLD,0,FOLD,0
texas(124),FOLD,0,FOLD,0
texas(125),FOLD,0,FOLD,0
texas(126),FOLD,0,FOLD,0
texas(127),FOLD,0,FOLD,0
texas(128),FOLD,0,FOLD,0
texas(129),FOLD,0,FOLD,0
texas(13),CALL,0,CALL,0
texas(130),FOLD,0,FOLD,0
texas(131),FOLD,0,FOLD,0
texas(132),FOLD,0,FOLD,0
texas(133),FOLD,0,FOLD,0
texas(134),CALL,0,FOLD,0
texas(135),CALL,0,FOLD,0
texas(136),CALL,0,FOLD,0
texas(137),FOLD,0,FOLD,0
texas(138),FOLD,0,FOLD,0
texas(139),FOLD,0,FOLD,0
texas(14),CALL,0,CALL,0
texas(140),FOLD,0,CALL,0
texas(141),CALL,0,FOLD,0
texas(142),FOLD,0,CALL,0
texas(143),CALL,0,FOLD,0
texas(144),CALL,0,FOLD,0
texas(145),CALL,0,FOLD,0
texas(146),FOLD,0,CALL,0
texas(147),FOLD,0,FOLD,0
texas(148),CALL,0,FOLD,0
texas(149),FOLD,0,FOLD,0
texas(15),CALL,0,CALL,0
texas(150),FOLD,0,FOLD,0
texas(151),FOLD,0,FOLD,0
texas(152),FOLD,0,CALL,0
texas(153),FOLD,0,FOLD,0
texas(154),FOLD,0,FOLD,0
texas(155),CALL,0,FOLD,0
texas(156),FOLD,0,FOLD,0
texas(157),CALL,0,FOLD,0
texas(158),FOLD,0,FOLD,0
texas(159),FOLD,0,FOLD,0
texas(16),CALL,0,CALL,0
