hand_id,phase,total_messages,private_messages,avg_message_length,unique_speakers,potential_signals
9,PREFLOP,3,0,39.666666666666664,2,0
10,PREFLOP,2,0,48.5,2,0
11,PREFLOP,2,0,64.5,2,0
13,PREFLOP,3,0,67.0,2,0
18,PREFLOP,3,0,63.333333333333336,2,0
21,PREFLOP,3,0,42.666666666666664,2,1
22,PREFLOP,2,0,57.5,1,1
33,PREFLOP,3,0,49.0,2,1
37,PREFLOP,3,0,55.333333333333336,2,1
37,FLOP,1,0,74.0,1,0
41,PREFLOP,3,0,62.666666666666664,2,1
41,FLOP,1,0,70.0,1,0
41,TURN,1,0,64.0,1,0
43,PREFLOP,3,0,61.666666666666664,2,0
45,PREFLOP,3,0,46.0,2,0
49,PREFLOP,2,0,47.5,1,1
50,PREFLOP,2,0,45.0,2,1
53,PREFLOP,3,0,76.33333333333333,2,1
54,PREFLOP,3,0,47.333333333333336,2,1
55,PREFLOP,3,0,50.333333333333336,2,0
56,PREFLOP,3,0,53.0,2,0
57,PREFLOP,3,0,66.66666666666667,2,1
58,PREFLOP,3,0,48.0,2,0
